Source,Target,Weight,Date
C6,M2269,3,2005-12-04
C6,M2290,3,2004-10-14
C6,M2340,3,2005-12-04
C6,M2342,3,2005-04-20
C6,M2360,3,2004-11-17
C6,M2372,5,2004-12-14
C6,M2391,4,2004-12-07
C6,M2452,5,2004-09-15
C6,M2456,4,2004-03-09
C6,M2617,3,2004-09-27
C6,M2660,3,2004-12-13
C6,M2726,3,2005-12-04
C6,M2778,3,2004-10-10
C6,M2782,5,2004-09-15
C6,M2843,1,2005-12-02
C6,M2851,4,2004-09-15
C6,M2857,4,2005-12-04
C6,M2862,4,2004-10-14
C6,M2865,3,2004-12-16
C6,M2874,4,2005-01-12
C6,M2913,3,2005-04-06
C6,M2942,3,2005-08-29
C6,M2953,4,2005-12-04
C6,M2965,4,2005-12-04
C6,M2981,3,2005-04-20
C6,M3058,4,2004-11-10
C6,M3151,1,2005-04-20
C6,M3153,3,2005-12-04
C6,M3165,3,2005-05-15
C6,M3198,3,2005-12-04
C6,M3226,3,2005-10-26
C6,M3265,3,2005-12-04
C6,M3269,4,2005-08-29
C6,M3290,5,2004-09-15
C6,M3315,3,2004-10-16
C6,M3320,3,2005-12-04
C6,M3333,4,2005-03-23
C6,M3385,2,2005-12-04
C6,M3423,4,2004-03-09
C6,M3427,4,2004-11-17
C6,M3434,3,2005-12-04
C6,M3509,4,2005-08-29
C6,M3538,3,2005-06-22
C6,M3541,3,2004-09-27
C6,M3608,4,2004-09-27
C6,M3624,4,2004-09-27
C6,M3638,4,2004-12-16
C6,M3648,3,2004-11-10
C6,M3684,3,2004-09-27
C6,M3689,3,2005-11-10
C6,M3730,4,2005-11-10
C6,M3756,3,2005-03-23
C6,M3798,2,2004-09-27
C6,M3817,2,2005-03-23
C6,M3825,3,2004-11-17
C6,M3860,3,2004-09-15
C6,M3864,3,2005-11-25
C6,M3893,4,2005-10-26
C6,M3894,2,2005-03-23
C6,M3905,3,2005-12-04
C6,M3925,3,2004-09-15
C6,M3936,4,2004-09-15
C6,M3938,4,2004-12-07
C6,M3962,4,2005-08-29
C6,M3966,4,2005-04-20
C6,M4043,5,2005-11-25
C6,M4100,3,2005-12-04
C6,M4127,4,2004-09-27
C6,M4149,4,2004-09-27
C6,M4227,3,2005-01-12
C6,M4262,4,2004-09-27
C6,M4266,4,2004-11-10
C6,M4306,4,2004-11-24
C6,M4353,1,2005-08-29
C6,M4356,4,2004-12-07
C6,M4393,3,2004-10-10
C6,M4406,3,2005-12-04
C6,M4432,3,2005-04-20
C6,M4472,3,2004-12-07
C7,M8,5,2005-07-30
C7,M28,4,2005-05-23
C7,M30,5,2004-09-27
C7,M83,5,2005-10-30
C7,M175,5,2004-09-09
C7,M185,4,2005-05-23
C7,M191,4,2004-09-27
C7,M257,5,2005-05-23
C7,M273,4,2005-05-23
C7,M283,5,2005-05-23
C7,M285,5,2005-11-27
C7,M299,4,2005-05-23
C7,M313,5,2005-05-23
C7,M329,4,2005-01-19
C7,M348,4,2005-05-23
C7,M357,5,2004-09-27
C7,M457,5,2004-08-24
C7,M458,5,2003-11-21
C7,M468,5,2005-01-19
C7,M501,5,2005-05-23
C7,M535,3,2005-05-23
C7,M550,5,2005-05-23
C7,M563,2,2005-05-23
C7,M571,4,2004-06-09
C7,M607,3,2005-05-23
C7,M636,4,2005-05-23
C7,M689,5,2005-07-30
C7,M705,3,2005-05-23
C7,M708,3,2005-05-23
C7,M758,4,2005-03-07
C7,M798,5,2005-05-23
C7,M886,4,2005-03-07
C7,M896,4,2005-05-23
C7,M937,4,2005-05-23
C7,M940,3,2005-05-23
C7,M963,5,2005-05-23
C7,M989,5,2005-05-23
C7,M1043,4,2005-05-23
C7,M1046,3,2004-06-09
C7,M1066,5,2005-05-23
C7,M1102,2,2004-09-27
C7,M1144,5,2005-01-19
C7,M1145,3,2003-11-21
C7,M1148,5,2005-04-02
C7,M1180,5,2005-03-07
C7,M1202,4,2005-05-23
C7,M1220,5,2005-01-19
C7,M1289,1,2004-07-04
C7,M1307,5,2004-05-05
C7,M1314,4,2005-05-23
C7,M1359,5,2005-05-23
C7,M1406,3,2005-05-23
C7,M1428,4,2004-09-27
C7,M1470,2,2004-09-27
C7,M1482,5,2004-08-24
C7,M1542,4,2005-05-23
C7,M1571,3,2005-05-23
C7,M1578,4,2005-05-23
C7,M1589,4,2005-05-23
C7,M1645,4,2005-05-23
C7,M1650,5,2005-05-23
C7,M1659,4,2005-05-23
C7,M1661,3,2005-05-23
C7,M1746,3,2005-05-23
C7,M1754,3,2005-05-23
C7,M1795,5,2005-05-23
C7,M1798,5,2005-04-02
C7,M1810,2,2004-07-04
C7,M1832,4,2005-05-23
C7,M1843,3,2005-05-23
C7,M1865,5,2004-11-01
C7,M1901,5,2005-05-23
C7,M1902,5,2005-05-23
C7,M1905,5,2004-09-27
C7,M1918,5,2004-11-01
C7,M1962,5,2004-09-27
C7,M1972,4,2005-05-23
C7,M2000,4,2005-05-23
C7,M2009,4,2005-01-19
C7,M2016,5,2004-07-20
C7,M2095,5,2005-05-23
C7,M2112,3,2005-01-19
C7,M2122,5,2004-06-09
C7,M2128,4,2005-05-23
C7,M2139,4,2005-05-23
C7,M2152,3,2005-05-23
C7,M2153,4,2005-05-23
C7,M2186,4,2004-06-21
C7,M2198,3,2005-05-23
C7,M2200,3,2004-05-05
C7,M2209,5,2005-04-02
C7,M2252,3,2005-05-23
C7,M2290,4,2005-05-23
C7,M2348,4,2005-05-23
C7,M2360,5,2005-05-23
C7,M2371,4,2005-05-23
C7,M2372,4,2004-12-12
C7,M2391,4,2004-09-27
C7,M2452,5,2004-09-27
C7,M2462,4,2005-05-23
C7,M2470,4,2005-05-23
C7,M2577,4,2005-05-23
C7,M2580,3,2004-06-21
C7,M2660,5,2005-05-23
C7,M2685,4,2004-09-27
C7,M2699,4,2004-08-24
C7,M2743,5,2004-08-24
C7,M2755,3,2005-05-23
C7,M2757,3,2005-05-23
C7,M2782,5,2004-08-24
C7,M2783,3,2005-05-23
C7,M2800,4,2005-01-19
C7,M2862,5,2005-03-07
C7,M2874,4,2005-01-19
C7,M2890,5,2005-05-23
C7,M2953,5,2005-10-30
C7,M3015,5,2005-06-30
C7,M3071,5,2005-05-23
C7,M3106,4,2005-05-23
C7,M3151,2,2005-10-30
C7,M3153,5,2005-05-23
C7,M3165,4,2005-05-23
C7,M3197,3,2005-05-31
C7,M3198,3,2005-05-23
C7,M3216,5,2004-08-24
C7,M3222,4,2005-05-23
C7,M3254,5,2005-05-23
C7,M3282,5,2005-06-04
C7,M3285,4,2005-05-23
C7,M3290,5,2004-09-27
C7,M3320,5,2005-05-23
C7,M3342,5,2004-09-27
C7,M3364,4,2005-05-23
C7,M3368,4,2005-05-23
C7,M3371,5,2004-05-05
C7,M3414,3,2005-05-23
C7,M3418,3,2004-07-04
C7,M3427,3,2005-01-19
C7,M3433,4,2005-05-23
C7,M3466,2,2005-05-23
C7,M3515,3,2005-05-23
C7,M3535,5,2005-05-23
C7,M3538,5,2005-05-23
C7,M3541,5,2005-05-23
C7,M3579,3,2005-05-23
C7,M3605,5,2005-05-23
C7,M3611,3,2004-11-22
C7,M3617,3,2005-05-23
C7,M3624,5,2004-09-27
C7,M3638,5,2004-06-09
C7,M3648,4,2005-05-23
C7,M3650,4,2005-05-23
C7,M3680,3,2004-09-09
C7,M3684,4,2005-01-19
C7,M3730,5,2005-05-23
C7,M3740,3,2005-05-23
C7,M3756,3,2004-09-27
C7,M3782,4,2005-05-23
C7,M3798,5,2005-03-07
C7,M3825,5,2004-11-10
C7,M3860,4,2004-07-04
C7,M3890,3,2005-05-23
C7,M3893,3,2005-05-23
C7,M3905,5,2004-11-10
C7,M3917,5,2005-06-30
C7,M3925,5,2004-09-27
C7,M3938,4,2005-01-19
C7,M3960,3,2005-05-23
C7,M3962,5,2004-09-27
C7,M3972,3,2005-05-23
C7,M4043,4,2004-09-27
C7,M4056,4,2005-01-19
C7,M4123,4,2005-05-23
C7,M4135,4,2005-05-23
C7,M4141,3,2005-05-23
C7,M4157,5,2005-10-30
C7,M4216,3,2005-05-23
C7,M4227,4,2005-05-23
C7,M4256,4,2005-05-23
C7,M4266,5,2005-01-19
C7,M4302,5,2005-05-23
C7,M4306,5,2005-01-19
C7,M4330,5,2005-05-23
C7,M4345,1,2004-09-27
C7,M4353,5,2005-05-23
C7,M4356,4,2004-09-27
C7,M4369,3,2005-05-23
C7,M4380,3,2005-05-23
C7,M4384,1,2005-01-19
C7,M4393,4,2005-05-23
C7,M4427,5,2004-11-10
C7,M4432,5,2004-09-27
C7,M4465,2,2005-05-23
C7,M4472,3,2004-06-21
C7,M4479,5,2005-05-23
C8,M1144,4,2005-08-25
C8,M1202,5,2005-08-25
C8,M1428,4,2005-08-25
C8,M1518,4,2005-08-25
C8,M1719,1,2005-08-25
C8,M1799,5,2005-08-25
C8,M1843,3,2005-08-25
C8,M1905,5,2005-08-25
C8,M2152,3,2005-08-25
C8,M2186,5,2005-08-25
C8,M2200,4,2005-08-25
C8,M2580,4,2005-08-25
C8,M2782,4,2005-08-25
C8,M3106,4,2005-08-25
C8,M3427,4,2005-08-25
C8,M3538,2,2005-08-25
C8,M3610,5,2005-08-25
C8,M3925,5,2005-08-25
C8,M3936,4,2005-08-25
C8,M3938,4,2005-08-25
C8,M4306,5,2005-08-25
C10,M175,3,2003-04-18
C10,M191,4,2003-12-30
C10,M197,4,2005-08-08
C10,M285,3,2002-12-28
C10,M299,2,2003-05-21
C10,M468,3,2004-06-13
C10,M473,5,2003-07-29
C10,M483,2,2004-02-05
C10,M571,4,2002-12-20
C10,M886,3,2005-08-08
C10,M900,2,2004-05-31
C10,M985,5,2002-12-31
C10,M1145,3,2003-02-14
C10,M1180,3,2004-06-13
C10,M1542,5,2003-02-12
C10,M1645,2,2003-12-30
C10,M1744,3,2005-10-25
C10,M1816,2,2004-07-01
C10,M1819,2,2003-01-03
C10,M1905,5,2005-10-25
C10,M1975,3,2003-01-03
C10,M2037,4,2003-02-13
C10,M2112,3,2003-12-30
C10,M2122,4,2002-12-20
C10,M2152,4,2003-02-13
C10,M2172,5,2005-08-08
C10,M2518,4,2003-12-04
C10,M2578,3,2004-03-02
C10,M2782,4,2005-08-08
C10,M2905,3,2004-06-13
C10,M2986,1,2003-05-30
C10,M2992,4,2004-06-13
C10,M3124,5,2005-08-08
C10,M3254,4,2003-09-15
C10,M3282,3,2005-10-25
C10,M3333,2,2005-10-25
C10,M3371,5,2003-12-30
C10,M3434,2,2004-06-13
C10,M3538,4,2002-12-31
C10,M3579,2,2003-12-30
C10,M3610,4,2005-08-08
C10,M3623,2,2004-02-05
C10,M3713,2,2005-08-08
C10,M3886,1,2003-12-04
C10,M3900,2,2004-07-01
C10,M3962,5,2003-12-30
C10,M4043,5,2004-06-13
C10,M4306,5,2005-06-01
C10,M4345,4,2004-02-05
C25,M178,3,2004-01-21
C25,M761,4,2005-05-20
C25,M3427,2,2005-08-31
C25,M4432,5,2005-08-31
C33,M197,4,2005-02-22
C33,M615,4,2005-09-24
C33,M680,1,2004-07-31
C33,M1542,4,2005-02-22
C33,M1962,4,2005-02-22
C33,M2371,4,2005-02-22
C33,M2372,4,2005-02-22
C33,M2518,3,2005-02-22
C33,M2880,4,2005-02-22
C33,M3730,4,2005-09-24
C33,M3917,2,2005-09-24
C42,M30,4,2004-05-19
C42,M191,3,2004-01-05
C42,M197,4,2004-09-27
C42,M357,3,2004-05-19
C42,M468,4,2004-05-19
C42,M954,4,2004-02-10
C42,M1173,5,2005-03-01
C42,M1303,4,2003-12-02
C42,M1470,4,2003-12-02
C42,M1645,4,2003-10-29
C42,M1734,4,2005-03-01
C42,M2112,4,2005-01-28
C42,M2171,4,2004-05-19
C42,M2254,3,2004-01-27
C42,M2372,4,2005-01-28
C42,M2457,4,2004-12-21
C42,M2519,5,2005-05-11
C42,M2699,4,2004-05-19
C42,M2779,3,2004-05-19
C42,M2874,4,2004-12-21
C42,M2913,4,2005-05-11
C42,M2974,3,2005-03-01
C42,M3151,3,2005-09-06
C42,M3197,5,2004-11-08
C42,M3282,3,2005-09-06
C42,M3333,3,2005-01-28
C42,M3371,4,2004-01-05
C42,M3446,4,2005-03-23
C42,M3925,3,2003-12-02
C42,M3938,5,2004-12-21
C42,M3962,5,2003-11-19
C42,M4149,4,2005-03-23
C42,M4266,5,2005-01-11
C42,M4389,5,2003-10-21
C42,M4420,4,2004-12-21
C42,M4432,4,2004-01-05
C59,M30,2,2005-02-23
C59,M180,2,2004-02-07
C59,M191,5,2003-10-15
C59,M313,5,2003-10-15
C59,M331,3,2004-01-06
C59,M357,4,2005-02-23
C59,M457,4,2005-03-22
C59,M468,5,2004-05-10
C59,M720,5,2004-02-20
C59,M758,5,2005-02-23
C59,M832,5,2004-09-14
C59,M886,5,2005-05-26
C59,M1092,3,2003-08-09
C59,M1220,5,2005-02-14
C59,M1245,2,2003-08-25
C59,M1307,4,2005-02-23
C59,M1470,3,2005-02-23
C59,M1509,5,2004-01-12
C59,M1561,4,2004-03-31
C59,M1610,4,2004-02-01
C59,M1865,1,2005-02-23
C59,M1905,4,2005-02-23
C59,M1962,5,2004-07-07
C59,M2112,5,2005-01-05
C59,M2254,3,2003-08-11
C59,M2262,4,2003-12-22
C59,M2370,4,2003-10-15
C59,M2372,5,2005-02-23
C59,M2391,2,2005-02-23
C59,M2452,1,2005-02-23
C59,M2734,4,2003-09-22
C59,M2874,4,2005-02-23
C59,M2913,4,2005-05-26
C59,M3254,5,2003-08-09
C59,M3333,5,2005-01-27
C59,M3371,3,2005-02-23
C59,M3385,4,2004-02-20
C59,M3542,4,2004-09-08
C59,M3624,5,2005-02-23
C59,M3626,4,2005-01-27
C59,M3713,5,2005-04-26
C59,M3938,4,2005-02-23
C59,M3999,5,2004-01-25
C59,M4012,4,2004-01-09
C59,M4345,5,2005-02-23
C59,M4356,4,2005-02-23
C59,M4389,5,2003-10-08
C59,M4432,5,2005-02-23
C59,M4472,5,2004-08-11
C79,M30,3,2004-04-06
C79,M84,3,2004-07-06
C79,M148,1,2002-09-07
C79,M191,4,2003-12-09
C79,M225,2,2005-01-31
C79,M257,5,2004-12-08
C79,M262,5,2005-08-08
C79,M285,3,2005-01-13
C79,M299,5,2004-12-21
C79,M312,1,2002-04-10
C79,M331,3,2003-04-19
C79,M334,4,2005-06-30
C79,M361,4,2005-11-02
C79,M406,4,2005-11-07
C79,M426,4,2005-03-09
C79,M429,3,2003-11-23
C79,M468,4,2004-04-12
C79,M475,4,2004-07-06
C79,M483,4,2002-04-09
C79,M528,1,2005-09-16
C79,M563,4,2005-03-09
C79,M607,5,2003-12-30
C79,M636,3,2005-05-16
C79,M645,5,2005-07-30
C79,M658,4,2005-05-16
C79,M692,3,2004-11-19
C79,M705,4,2004-11-30
C79,M708,3,2003-12-30
C79,M746,4,2003-05-19
C79,M758,2,2004-10-08
C79,M798,3,2005-05-16
C79,M851,4,2003-02-27
C79,M886,5,2005-03-10
C79,M896,5,2005-03-21
C79,M962,3,2003-05-18
C79,M985,4,2003-12-29
C79,M1046,1,2005-07-27
C79,M1066,4,2004-06-04
C79,M1073,5,2005-07-07
C79,M1087,3,2003-04-12
C79,M1102,3,2005-02-01
C79,M1110,4,2004-06-15
C79,M1121,5,2002-03-08
C79,M1144,5,2004-10-08
C79,M1145,3,2003-11-01
C79,M1148,5,2005-01-05
C79,M1174,3,2004-07-09
C79,M1180,4,2004-07-05
C79,M1202,3,2004-11-30
C79,M1220,3,2004-12-08
C79,M1267,4,2003-04-19
C79,M1299,4,2003-02-11
C79,M1307,3,2004-01-07
C79,M1406,3,2005-05-13
C79,M1425,4,2005-05-16
C79,M1428,3,2004-05-15
C79,M1455,2,2004-01-07
C79,M1470,5,2003-11-23
C79,M1502,3,2004-12-08
C79,M1509,3,2003-05-04
C79,M1542,4,2005-05-13
C79,M1561,1,2005-05-13
C79,M1615,4,2005-05-16
C79,M1634,4,2005-05-10
C79,M1645,3,2003-11-01
C79,M1650,5,2005-05-13
C79,M1661,5,2005-08-22
C79,M1700,1,2004-12-10
C79,M1703,4,2003-04-19
C79,M1719,3,2005-05-23
C79,M1744,3,2003-12-30
C79,M1754,5,2004-10-20
C79,M1783,5,2004-12-16
C79,M1798,5,2004-10-20
C79,M1799,4,2004-11-04
C79,M1810,3,2004-11-12
C79,M1865,1,2005-06-21
C79,M1890,5,2005-06-13
C79,M1905,4,2004-05-15
C79,M1918,3,2004-11-10
C79,M1962,5,2004-06-23
C79,M1976,3,2004-12-17
C79,M2000,4,2005-05-16
C79,M2012,1,2004-02-27
C79,M2113,4,2003-04-19
C79,M2128,4,2004-03-11
C79,M2152,3,2004-11-09
C79,M2153,5,2005-01-28
C79,M2171,4,2004-06-29
C79,M2186,4,2005-02-09
C79,M2200,3,2003-03-29
C79,M2209,5,2005-05-16
C79,M2235,1,2005-04-28
C79,M2372,4,2004-12-09
C79,M2380,5,2005-03-11
C79,M2388,3,2005-01-19
C79,M2389,4,2005-03-01
C79,M2391,2,2004-06-17
C79,M2452,4,2002-09-10
C79,M2457,5,2004-12-17
C79,M2462,4,2005-05-16
C79,M2470,4,2005-03-29
C79,M2495,4,2005-07-26
C79,M2499,4,2005-07-26
C79,M2555,3,2004-06-01
C79,M2580,3,2004-02-27
C79,M2594,2,2003-12-30
C79,M2612,4,2003-11-01
C79,M2658,4,2004-07-26
C79,M2660,5,2005-03-16
C79,M2680,4,2004-03-21
C79,M2690,4,2002-11-13
C79,M2735,5,2005-04-06
C79,M2779,2,2004-04-04
C79,M2782,4,2004-06-08
C79,M2783,3,2003-12-30
C79,M2800,3,2002-12-31
C79,M2862,4,2004-08-29
C79,M2866,3,2005-04-25
C79,M2874,4,2004-12-02
C79,M2913,4,2005-04-25
C79,M2953,3,2005-05-16
C79,M2960,2,2004-10-12
C79,M2974,3,2005-03-09
C79,M3017,5,2005-05-16
C79,M3058,4,2004-06-04
C79,M3079,4,2005-01-26
C79,M3082,3,2005-05-16
C79,M3148,4,2004-12-21
C79,M3151,1,2005-07-19
C79,M3197,3,2004-11-04
C79,M3222,5,2005-05-16
C79,M3239,4,2004-10-15
C79,M3254,1,2003-11-23
C79,M3282,1,2005-04-12
C79,M3320,2,2003-06-29
C79,M3324,3,2003-10-06
C79,M3364,4,2005-05-16
C79,M3368,1,2003-10-19
C79,M3398,2,2004-08-11
C79,M3418,4,2005-05-13
C79,M3422,3,2003-02-13
C79,M3427,4,2003-02-17
C79,M3441,3,2005-10-24
C79,M3466,4,2003-12-29
C79,M3538,5,2004-12-08
C79,M3541,5,2005-02-09
C79,M3573,3,2005-01-19
C79,M3579,2,2003-11-01
C79,M3605,5,2004-06-29
C79,M3610,3,2004-11-05
C79,M3624,1,2004-05-12
C79,M3638,3,2003-12-29
C79,M3640,2,2003-06-21
C79,M3650,4,2005-06-30
C79,M3684,5,2005-01-05
C79,M3756,1,2003-07-11
C79,M3798,4,2003-12-29
C79,M3825,3,2003-11-01
C79,M3835,3,2004-11-09
C79,M3860,2,2003-12-03
C79,M3864,5,2005-10-24
C79,M3890,3,2004-08-03
C79,M3894,2,2005-06-13
C79,M3907,3,2004-10-08
C79,M3910,3,2003-12-18
C79,M3917,1,2005-01-19
C79,M3921,3,2003-12-30
C79,M3925,4,2004-05-15
C79,M3938,5,2004-11-15
C79,M3960,5,2005-08-01
C79,M3962,5,2004-12-29
C79,M3966,5,2005-01-26
C79,M4056,3,2004-11-09
C79,M4067,3,2005-05-16
C79,M4100,3,2004-12-29
C79,M4123,4,2003-11-01
C79,M4136,3,2004-11-22
C79,M4138,4,2005-09-19
C79,M4141,4,2004-11-04
C79,M4149,2,2004-09-22
C79,M4159,2,2004-07-07
C79,M4167,2,2003-05-20
C79,M4227,5,2004-12-28
C79,M4256,5,2004-11-22
C79,M4260,4,2002-10-08
C79,M4290,4,2005-11-04
C79,M4302,4,2005-05-16
C79,M4306,5,2005-01-19
C79,M4315,4,2005-05-24
C79,M4330,5,2005-05-13
C79,M4341,3,2002-12-05
C79,M4356,4,2003-07-11
C79,M4380,3,2004-06-08
C79,M4432,4,2003-11-01
C79,M4472,4,2004-05-04
C79,M4490,4,2005-11-08
C83,M443,4,2003-06-02
C83,M1367,4,2003-04-18
C83,M1435,5,2003-05-21
C83,M1930,4,2003-03-29
C83,M2400,4,2004-02-09
C83,M2580,4,2004-02-14
C83,M2913,5,2005-07-01
C83,M3371,5,2004-02-14
C83,M3605,5,2004-07-12
C83,M4479,5,2003-07-29
C87,M95,1,2005-05-19
C87,M111,2,2004-06-14
C87,M167,4,2005-06-10
C87,M175,5,2004-03-08
C87,M191,4,2004-08-09
C87,M248,5,2005-08-24
C87,M290,3,2005-07-18
C87,M357,4,2004-06-17
C87,M361,3,2005-09-07
C87,M375,3,2004-10-15
C87,M416,4,2004-08-09
C87,M458,4,2004-06-05
C87,M482,5,2004-06-13
C87,M717,3,2005-08-24
C87,M761,4,2005-11-09
C87,M900,5,2004-03-08
C87,M986,3,2004-09-07
C87,M1470,4,2004-05-03
C87,M1598,2,2004-10-21
C87,M1610,3,2005-01-04
C87,M1771,4,2005-07-28
C87,M2372,4,2005-01-19
C87,M2443,4,2005-08-24
C87,M2452,4,2004-11-03
C87,M2461,2,2005-05-17
C87,M2558,3,2005-04-19
C87,M2578,4,2005-10-04
C87,M2585,5,2005-08-24
C87,M2640,4,2005-06-10
C87,M2782,4,2005-08-24
C87,M2913,4,2005-07-18
C87,M3011,2,2005-04-27
C87,M3106,3,2004-03-08
C87,M3267,4,2005-08-24
C87,M3320,4,2004-10-15
C87,M3333,4,2005-04-29
C87,M3461,5,2004-08-09
C87,M3542,5,2004-10-21
C87,M3624,5,2004-09-27
C87,M3917,4,2005-09-07
C87,M3925,3,2004-04-01
C87,M4015,3,2004-12-07
C87,M4161,4,2005-04-13
C87,M4164,4,2005-01-04
C87,M4267,3,2004-11-29
C87,M4331,3,2005-09-27
C87,M4352,3,2004-11-24
C87,M4371,2,2005-11-09
C87,M4390,3,2004-03-08
C87,M4472,5,2005-04-27
C94,M52,2,2005-08-03
C94,M257,2,2005-09-25
C94,M313,5,2005-06-30
C94,M329,4,2005-11-05
C94,M483,2,2005-06-30
C94,M571,5,2005-09-25
C94,M1144,5,2005-09-25
C94,M1145,1,2005-06-30
C94,M1406,5,2005-09-25
C94,M1466,2,2005-09-25
C94,M1771,5,2005-08-04
C94,M1865,1,2005-11-28
C94,M1905,5,2005-11-28
C94,M2095,2,2005-09-25
C94,M2122,5,2005-09-25
C94,M2152,3,2005-06-30
C94,M2372,3,2005-11-23
C94,M2580,2,2005-09-25
C94,M2874,5,2005-06-30
C94,M2913,2,2005-09-25
C94,M3282,4,2005-09-25
C94,M3713,4,2005-06-30
C94,M3763,2,2005-08-23
C94,M3894,5,2005-11-05
C94,M3925,1,2005-09-25
C94,M4123,5,2005-06-30
C94,M4402,5,2005-09-25
C97,M83,4,2005-08-03
C97,M167,4,2005-08-03
C97,M175,3,2005-06-29
C97,M270,3,2003-11-20
C97,M275,4,2003-09-22
C97,M299,3,2003-09-22
C97,M313,3,2003-11-20
C97,M329,1,2005-06-29
C97,M353,4,2004-04-25
C97,M357,2,2004-08-10
C97,M413,2,2005-08-03
C97,M443,5,2005-09-15
C97,M482,5,2003-07-31
C97,M483,1,2003-08-21
C97,M550,3,2003-08-26
C97,M571,3,2003-08-26
C97,M607,3,2003-08-21
C97,M708,3,2003-09-03
C97,M739,3,2003-12-01
C97,M862,4,2003-08-19
C97,M896,4,2005-06-29
C97,M942,2,2004-03-07
C97,M985,2,2003-08-21
C97,M1047,4,2003-09-18
C97,M1102,3,2003-09-22
C97,M1110,5,2005-08-03
C97,M1144,5,2004-04-25
C97,M1145,3,2003-08-19
C97,M1180,5,2003-10-06
C97,M1267,3,2003-08-21
C97,M1307,1,2004-03-07
C97,M1364,4,2005-06-29
C97,M1406,3,2003-08-21
C97,M1428,2,2003-09-22
C97,M1542,5,2003-08-21
C97,M1590,5,2003-09-22
C97,M1594,3,2003-08-21
C97,M1615,2,2005-08-03
C97,M1625,3,2005-06-29
C97,M1650,3,2003-11-20
C97,M1703,4,2005-06-29
C97,M1719,4,2005-06-29
C97,M1741,3,2003-08-21
C97,M1744,2,2003-08-21
C97,M1798,1,2003-08-21
C97,M1799,1,2003-08-21
C97,M1861,4,2003-08-21
C97,M1877,3,2004-05-01
C97,M1905,4,2004-03-07
C97,M1974,4,2003-09-03
C97,M1975,2,2003-08-21
C97,M2001,1,2003-08-21
C97,M2077,3,2004-01-07
C97,M2095,3,2003-08-21
C97,M2122,2,2005-06-16
C97,M2152,3,2003-12-17
C97,M2200,1,2003-08-21
C97,M2209,4,2005-06-29
C97,M2366,4,2004-01-07
C97,M2400,2,2003-08-21
C97,M2441,5,2005-09-15
C97,M2443,4,2005-06-29
C97,M2452,5,2003-09-22
C97,M2495,2,2003-08-21
C97,M2499,2,2003-08-21
C97,M2551,1,2004-05-02
C97,M2612,3,2003-08-19
C97,M2617,2,2003-09-22
C97,M2660,5,2005-08-03
C97,M2675,4,2003-10-06
C97,M2743,5,2005-08-03
C97,M2800,4,2003-08-21
C97,M2885,3,2004-01-07
C97,M2913,5,2005-06-16
C97,M2953,4,2005-08-03
C97,M3015,1,2005-07-19
C97,M3071,2,2005-08-03
C97,M3079,5,2005-11-08
C97,M3106,5,2003-08-19
C97,M3111,4,2003-08-28
C97,M3184,4,2003-07-24
C97,M3193,3,2004-03-07
